canonical_family,canonical_unit_id,canonical_title,historical_source_lineage,classification_state,evidence_boundary
BPM,bpm-aeat-ch72,AEAT chapter 72 physical-goods causal experiments,BMA,ADJUDICATED_RETROSPECTIVE_CAUSAL_2022_2025,"Causal chain 2022-2025; 2025 has 8 preregistered local tests with 7 improvements and 1 loss; December abstains; no global winner or promotion"
BPM,bpm-rmk-estonia-timber,Estonia RMK physical timber auction causal lineage,BayME BMA,ADJUDICATED_CAUSAL_TO_2026_05_28_FUTURE_ONLY_CONTINUATION,"14 event audits and 646 checks PASS; final posterior 388 cells and 1008 observations; local M1 mixed; no M2 global winner or promotion"
BPM,bpm-mercabarna-flower,Mercabarna flower experiments,BMA,ADJUDICATED,"Physical flower market; duplicate and failed runs remain distinct"
BPM,bpm-galicia-xurelo-first-sale,Galicia xurelo first-sale closure,BayME,ADJUDICATED,"Physical first sale across lonjas; mixed outcomes and custody gaps preserved"
BPM,bpm-iberian-day-ahead-electricity,Iberian day-ahead electricity market,BayME EVE,ADJUDICATED_WITH_CAMPAIGN_VETO,"Physical market; excluded from the separate industrial-daily campaign"
BPM,bpm-andalucia-lonjas,Andalusia physical first-sale markets,BayME,ADJUDICATED,"Species and pooling branches remain separate"
BPM,bpm-mercabarna-fruit-vegetable-flower,Mercabarna fruits vegetables flowers and plants,BayME,ADJUDICATED_SOURCE_FAMILY,"Concrete artifact recovery incomplete"
BPM,bpm-floral-clock-auction,Floral clock-price auction branch,BayME,ADJUDICATED_PENDING_ARTIFACT_RECOVERY,"Must not be merged blindly with Mercabarna wholesale"
BPM,bpm-export-experiment,Separate packaged physical-product export experiment,BayME,DESTINATION_ADJUDICATED_IDENTITY_INCOMPLETE,"Definition and artifacts incomplete"
BPM,bpm-physical-activity-connectors,Physical activity observation layer,BayME Pulse,ADJUDICATED_DESIGN_SCOPE,"Planned energy logistics trade inventory production and transport connectors; not executed evidence"
BPM,bpm-spain-port-activity-observer,Spain port by commodity physical flow observer,BayME Pulse,PROBED_PREREGISTERED_OBSERVER_NOT_OUTCOME,"Monthly tonnes and logistics fields; no price or market-clearing authority"
BUM,bum-financial-markets,Financial markets and intangible-instrument observatory,BayME Pulse,ADJUDICATED_DESIGN_SCOPE,"First positive BUM unit; specification only with no recovered empirical deployment"
HBP,hbp-argentina-ipc,Argentina multivariate credit M3 inflation,BayME EVE,ADJUDICATED_JULY_CLOSED_AUGUST_FROZEN_OUTCOME_PENDING_CUSTODY_GAPS,"July 2026 outcomes adjudicated separately for credit private M3 and IPC; August densities frozen; local payload bytes not recovered"
HBP,hbp-argentina-ucii,Argentina industrial capacity utilization UCII,BayME EVE,LEGACY_LOCAL_FREEZE_NONAUTHORITATIVE_CURRENT_ZPOST_SEMANTICS,"June outcome and historical diagnostics preserved; later residual-gamma update double-counts evidence under corrected Z_post semantics and cannot govern future learning"
HBP,hbp-argentina-ipi,Argentina industrial production index IPI,BayME EVE,FROZEN_PROSPECTIVE_IMMUTABLE_PAYLOAD_RECOVERY_PENDING,"Separate prospective freeze reported immutable; exact payload and hash not recovered locally; must not be merged with UCII"
HBP,hbp-eu27-eurostat,European Union 27-country edge system,BayME EVE,ADJUDICATED_HISTORICAL_RC15_AUGUST_FROZEN_JULY_NOT_ESTIMABLE,"Local edge authority only; July 2026 panel lacks all 27 country outcomes and is NOT_ESTIMABLE; native hashes retained but payload custody incomplete"
HBP,hbp-eurostat-sts-industrial-production,Eurostat monthly industrial production by country and NACE,BayME Pulse,PROBED_PREREGISTERED_FIRST_RELEASE_VINTAGE_REQUIRED,"Official API is latest-version only; provisional status preserved; energy gas and electricity excluded"
HBP,hbp-eurostat-prodcom-product-support,Eurostat annual manufactured product quantity and value support,BayME Pulse,OFFICIAL_SUPPORT_LAYER_PROBE_PENDING,"Annual product-country identity and scale only; no monthly outcome or posterior authority"
HBP,hbp-eu-ted-institutional-demand-observer,EU procurement physical-supply event observer,BayME Pulse,PROBED_EVENT_COUNTS_ONLY,"CPV-NUTS publication events usable; quantity absent and value incomplete; contract value is not market price"
HBP,hbp-rtdsm-us-macro,United States RTDSM quarterly macro predictor,BayME EVE,ADJUDICATED,"Retrospective local H4 only; no absolute winner"
HBP,hbp-ads-us-business-conditions,United States ADS realtime business-conditions predictor,BayME EVE,ADJUDICATED,"H1-H3 unsupported or refuted in this implementation"
HBP,hbp-economic-political-core,Multiscale economic-political world-model core,BayME EVE,ADJUDICATED_THEORY_SUBSTRATE,"Alpha substrate; no policy commercial or general-superiority authority"
HBP,hbp-global-economic-state,Global multiscale economic state and stress observatory,BayME Pulse,ADJUDICATED_DESIGN_SCOPE,"Specified not deployed; observed reconciled inferred layers must remain distinct"
HBP,hbp-systemic-transition-dual-origin,Pure versus induced systemic transition predictor,BayME Pulse,ADJUDICATED_RESEARCH_DESIGN,"No prospective validation and no universal detection claim"
HBP,hbp-monetary-inflation-credit-system,Inflation fiscal monetary credit and external-constraint research programme,BayME EVE,ADJUDICATED_RESEARCH_PROGRAM,"Explicit domains and first vertical design; not one completed empirical campaign and not validated as a unified predictor"
HBP,hbp-galicia-micro-meso-macro-bridge,Galicia physical-market to wholesale and macro bridge,BayME,ADJUDICATED_EXECUTABLE_CONTRACT_RAW_PENDING,"CrossScaleObservation and as-of lineage contracts implemented; MAPA and Mercasa raw acquisition pending; no causal-transmission claim"
HBP,hbp-spain-fish-cpi-downstream-observer,Spain fish CPI downstream observer,BayME,ADJUDICATED_OBSERVER_NO_SCORING_AUTHORITY,"Consumer index can explain or audit downstream transmission but cannot calibrate the physical first-sale market"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,unclassified-paper-translation,Academic paper translation,BayME EVE,DERIVATIVE_OBSERVER,"Cannot govern classification independently"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,unclassified-openbb-observer,OpenBB research observatory,BayME EVE,DERIVATIVE_OBSERVER,"Read-only projection; destination follows observed governed units"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,unclassified-mixed-source-container,Mixed historical conversation and transfer package,BayME Pulse,MIXED_CONTAINER_DO_NOT_MAP_WHOLE,"Native EOF reached with long-item transport truncation; package bytes not recovered"
