source_id,official_owner,canonical_candidate,domain,granularity,public_access,minimal_fields_or_support,quantitative_jump,qualitative_jump,principal_risk,screen_decision,official_url
rmk-estonia-timber-auctions,Estonian State Forest Management Centre,BPM,Physical timber auctions,Irregular event and delivery phase,Public pages and bounded XLSX without account,"product measurement fingerprint destination price volume event phase","388 local cells and 1008 posterior observations after 14 audited events","Direct physical auction jurisdiction with price and quantity",Schema drift and source conflicts,PROMOTED_CLOSED_CAUSAL_LINEAGE_FUTURE_ONLY_CONTINUATION,https://rmk.ee/kuulutused/metsa-ja-puidu-muuk/
indec-argentina-ipi-ucii,INDEC,HBP,Argentina manufacturing production and capacity utilization,Monthly,Official public pages and bounded PDF/XLSX without account,"release date reference month original index seasonally adjusted index division UCII sector value","Monthly national and sector panels repair the industrial outcome spine","Independent official Argentina outcome layer with sector mechanisms",Historical freeze payloads still missing and releases may revise series,PRIORITY_1_NEW_VINTAGE_CUSTODY_NO_RETROACTIVE_FREEZE_RECONSTRUCTION,https://www.indec.gob.ar/indec/web/Nivel3-Tema-3-6
eurostat-sts-industrial-production,Eurostat,HBP,Strict industrial production by country and NACE,Monthly,Free public REST SDMX and JSON-stat APIs,"geo NACE indicator unit seasonal adjustment time value status update timestamp","Country-by-activity panel denser than RC15 aggregate edges","Harmonized industrial state layer across Europe",Latest-version API has no historical vintage archive and status p is provisional,PRIORITY_1_FIRST_RELEASE_VINTAGE_CAPTURE,https://ec.europa.eu/eurostat/web/products-datasets/-/sts_inpr_m
eurostat-prodcom-product-production,Eurostat,HBP_BPM_SUPPORT,Manufactured goods production by product and country,Annual,Free public Comext/Prodcom API endpoint,"declarant PRCCODE frequency year PRODQNT PRODVAL flags and rounding bases","Product-level quantity and value from 1995 with country dimension","Physical product identity and scale bridge between HBP and BPM without outcome pooling","Annual cadence code revisions confidentiality and double counting",PRIORITY_1_PREREGISTER_BOUNDED_PRODUCT_SLICE_AS_SUPPORT_ONLY,https://ec.europa.eu/eurostat/web/prodcom
puertos-es-monthly,Puertos del Estado,BPM,Physical freight and port activity,Monthly,Public XLSX and PDF without account,"port commodity nature tonnes containers TEU vessels vehicles reference month","Port-by-commodity physical-flow panel across 28 authorities and 40 natures","Independent logistics observation layer for industrial supply chains",No transaction price and administrative revisions,PRIORITY_2_OBSERVER_FIRST_RELEASE_CAPTURE,https://www.puertos.es/datos/estadisticas/mensuales
ted-eu-awards,Publications Office of the European Union,HBP,Public procurement award notices for physical supplies,Daily publication events,Anonymous Search API,"publication date notice type CPV NUTS buyer and event identity","High-frequency CPV-NUTS event panel","Institutional demand graph without pretending contract value is market price",Quantity absent and value incomplete,HOLD_EVENT_COUNTS_ONLY_UNTIL_SEPARATE_COMPLETENESS_GATE,https://docs.ted.europa.eu/api/latest/search.html
un-comtrade-monthly,United Nations Statistics Division,HBP_BPM_OBSERVER,International physical-goods trade,Monthly,Public preview API with tier boundary,"reporter partner flow HS period quantity net weight trade value publication status","Potential reporter-partner-product layer","Global external-flow observer",Observed preview rows were aggregate unreported estimated and quantity zero,QUARANTINE_NO_MODEL_AUTHORITY,https://uncomtrade.org/docs/un-comtrade-api/
zoll-auktion,German federal customs auction,BPM_CANDIDATE,Mixed movable-goods auctions,Daily listings,Public website no stable official data API verified,"lot category bid close date result price quantity","Potential daily auction density","Independent public European venue",Used-goods heterogeneity and unstable extraction schema,HOLD_NOT_PRIMARY,https://www.zoll-auktion.de/
tbauctions-atlas,TBAuctions,BPM_REJECTED,European industrial auction platform,Event and transaction API,Developer account supplied by sales plus login bearer token and product subscription,"item bucket order transaction company buyer scope","Potential high-density industrial auction stream","Strong industrial identity and transaction schema","Not open data; account sales contact JWT and subscription key are required",REJECTED_ACCESS_GATE_NO_ACCOUNT_NO_CONTACT,https://apidocs.tbauctions.com/getting-started
equipmentwatch-market-data,EquipmentWatch,BPM_REJECTED,Heavy-equipment auction and resale transactions,Transaction event API,API key request and commercial subscription,"model manufacturer category sale type date marketplace price location serial","Large historical raw auction and resale activity","Excellent equipment identity and market semantics","Not open data; API key request demo and subscription required",REJECTED_SECOND_OPTION_ACCESS_GATE_NO_ACCOUNT_NO_CONTACT,https://equipmentwatch.com/api/market-data/
