canonical_destination,unit_id,title,source_lineage,status,evidence_boundary
BPM,bma-aeat-ch72,AEAT chapter 72 physical-goods causal experiments,BMA,ADJUDICATED,"Causal chain 2022-2024; local month/target authority; December uncalibrated"
BPM,bma-mercabarna-flor,Mercabarna flower experiments,BMA,ADJUDICATED,"Physical flower market; duplicate and failed runs remain distinct"
BPM,bayme-xurelo-closure,Galicia xurelo first-sale closure,BayME,ADJUDICATED,"Physical first sale across lonjas; mixed outcomes and custody gaps preserved"
BPM,eve-omie,Iberian day-ahead electricity market,BayME EVE,ADJUDICATED_WITH_CAMPAIGN_VETO,"Physical market; excluded only from the separate industrial-daily campaign"
BPM,bpm-andalucia-lonjas,Andalusia physical first-sale markets,BayME,ADJUDICATED,"Species and pooling branches remain separate"
BPM,bpm-mercabarna-fruit-vegetable-flower,Mercabarna fruits vegetables flowers and plants,BayME,ADJUDICATED_SOURCE_FAMILY,"Concrete artifact recovery incomplete"
BPM,bpm-floral-clock-auction,Floral clock-price auction branch,BayME,ADJUDICATED_PENDING_ARTIFACT_RECOVERY,"Must not be merged blindly with Mercabarna wholesale"
BPM,bpm-export-experiment,Separate packaged physical-product export experiment,BayME,DESTINATION_ADJUDICATED_IDENTITY_INCOMPLETE,"Definition and artifacts incomplete"
HBP,hbp-argentina-ipc,Argentina multivariate credit M3 inflation,BayME EVE,ADJUDICATED,"First-release causal lineage; persistence gaps preserved"
HBP,hbp-argentina-ucii,Argentina productive spine UCII and IPI,BayME EVE,ADJUDICATED,"Local freeze succeeded; remote Library persistence failed"
HBP,hbp-eu27-eurostat,European Union 27-country edge system,BayME EVE,ADJUDICATED,"Local edge authority only; incomplete July panel non-adjudicable"
HBP,hbp-rtdsm-us-macro,United States RTDSM quarterly macro predictor,BayME EVE,ADJUDICATED,"Retrospective local H4 only; no absolute winner"
HBP,hbp-ads-us-business-conditions,United States ADS realtime business-conditions predictor,BayME EVE,ADJUDICATED,"H1-H3 unsupported or refuted in this implementation"
HBP,hbp-eve-economic-political-core,Multiscale economic-political world-model core,BayME EVE,ADJUDICATED_THEORY_SUBSTRATE,"Alpha substrate; no policy commercial or general-superiority authority"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,eve-paper-translation,Academic paper translation,BayME EVE,DERIVATIVE_OBSERVER,"Cannot govern classification independently"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,eve-openbb-observer,OpenBB research observatory,BayME EVE,DERIVATIVE_OBSERVER,"Read-only projection; destination follows observed governed units"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,bayme-pulse-unrecovered,BayME Pulse identity and units,UNKNOWN,NOT_YET_RECOVERED,"Exact local and Drive searches found no positive identity evidence"
UNCLASSIFIED_PENDING_CONTENT_REVIEW,hbp-mondragon-unrecovered,Mondragon predictor line,UNKNOWN,NOT_YET_RECOVERED,"User-established target; no artifact adjudicated in current coverage"
